week,ID,R,Y,G,W,P,M,plants,aphids_per_click,fungus_present,plants_no_growth,spider_contam,ptoid_contam,mummy_contam,aphids_extinct,ptoids_extinct,ptoids_added
7,17RYGP,73,54,54,5,34,367,4,5,0,0,0,0,0,0,0,0
7,18RP,168,0,0,6,28,186,4,5,0,0,0,0,0,0,0,0
7,19YP,0,667,0,5,0,45,4,5,0,0,0,0,0,0,0,0
7,20GP,0,0,96,5,52,172,4,5,0,0,0,0,0,0,0,0
7,21RYG,74,144,75,2,0,0,4,5,0,0,0,0,0,0,0,0
7,22RYGP,42,52,20,2,17,120,4,5,0,0,0,0,0,0,0,0
7,23RP,45,0,0,2,68,374,4,5,0,0,0,0,0,0,0,0
7,24YP,0,389,0,2,35,75,4,5,0,0,0,0,0,0,0,0
7,25GP,0,0,156,17,47,193,4,5,0,0,0,0,0,0,0,0
7,26RYG,156,126,113,7,0,0,4,5,0,0,0,0,2,0,0,0
7,27RYGP,112,135,68,4,4,80,4,5,0,0,0,0,0,0,0,0
7,28RP,75,0,0,10,124,296,4,5,0,0,0,0,0,0,0,0
7,29YP,0,509,0,0,40,51,4,5,0,0,0,0,0,0,0,0
7,30GP,0,0,357,7,24,65,4,5,0,0,0,0,0,0,0,0
8,1RYG,87,80,51,1,0,0,4,5,0,0,0,0,0,0,0,0
8,2RYGP,48,80,74,6,15,9,4,5,0,0,0,0,0,0,0,0
8,3RP,277,0,0,5,95,71,4,5,0,0,0,0,0,0,0,0
8,4YP,0,348,0,5,22,79,4,5,1,0,0,0,0,0,0,0
8,5GP,0,0,75,4,4,140,4,5,0,0,0,0,0,0,0,0
8,6RYG,139,169,126,3,0,0,4,5,0,0,1,0,0,0,0,0
8,7RYGP,23,36,102,0,500,143,4,5,0,0,0,0,0,0,0,0
8,8RP,168,0,0,4,280,168,4,5,0,0,0,0,0,0,0,0
8,9YP,0,430,0,3,100,274,4,5,0,0,0,0,0,0,0,0
8,10GP,0,0,323,15,195,272,4,5,1,0,0,0,0,0,0,0
8,11RYG,62,116,96,7,0,0,4,5,0,0,0,0,0,0,0,0
8,12RYGP,106,131,86,12,46,148,4,5,0,0,0,0,0,0,0,0
8,13RP,151,0,0,20,180,285,4,5,0,0,0,0,0,0,0,0
8,14YP,0,224,0,0,60,24,4,5,0,0,0,0,0,0,0,0
8,15GP,0,0,5,2,6,4,8,1,1,0,0,0,0,0,0,0
8,16RYG,32,31,38,4,0,0,4,5,0,1,0,0,0,0,0,0
8,17RYGP,49,30,29,0,252,144,4,5,0,0,0,0,0,0,0,0
8,18RP,280,0,0,35,70,248,4,5,0,0,0,0,0,0,0,0
8,19YP,0,208,0,0,48,50,4,5,0,0,0,0,0,0,0,0
8,20GP,0,0,130,0,320,204,4,5,0,0,0,0,0,0,0,0
8,21RYG,137,237,160,5,0,0,4,5,0,0,0,0,0,0,0,0
8,22RYGP,65,35,37,0,185,130,4,5,1,0,0,0,0,0,0,0
8,23RP,13,0,0,6,210,38,8,1,0,0,0,0,0,0,0,0
8,24YP,0,193,0,0,70,46,4,5,0,0,0,0,0,0,0,0
8,25GP,0,0,185,0,220,155,4,5,0,0,0,0,0,0,0,0
8,26RYG,64,53,132,4,0,0,4,5,0,0,0,22,11,0,0,0
8,27RYGP,84,66,87,2,175,130,4,5,0,0,0,0,0,0,0,0
8,28RP,59,0,0,6,290,140,8,1,0,0,0,0,0,0,0,0
8,29YP,0,440,0,0,14,45,4,5,0,0,0,0,0,0,0,0
8,30GP,0,0,375,0,75,64,4,5,0,0,0,0,0,0,0,0
9,1RYG,24,22,18,1,0,0,4,5,0,1,0,0,0,0,0,0
9,2RYGP,21,17,41,0,5,35,4,5,1,1,0,0,0,0,0,0
9,3RP,113,0,0,0,23,43,4,5,1,0,0,0,0,0,0,0
9,4YP,0,55,0,0,8,55,4,5,1,0,0,0,0,0,0,0
9,5GP,0,0,228,13,9,140,4,5,1,0,0,0,0,0,0,0
9,6RYG,19,24,25,0,0,0,4,5,0,1,0,0,0,0,0,0
9,7RYGP,11,11,35,0,170,457,4,5,0,0,0,0,0,0,0,0
9,8RP,37,0,0,0,125,110,4,5,0,0,0,0,0,0,0,0
9,9YP,0,141,0,0,38,172,4,5,0,1,0,0,0,0,0,0
9,10GP,0,0,155,0,60,130,4,5,1,0,0,0,0,0,0,0
9,11RYG,43,91,52,0,0,0,4,5,0,1,0,0,0,0,0,0
9,12RYGP,44,33,40,0,20,66,4,5,0,1,0,0,0,0,0,0
9,13RP,11,0,0,0,90,211,4,5,0,0,0,0,0,0,0,0
9,14YP,0,124,0,0,15,176,4,5,0,0,0,0,0,0,0,0
9,15GP,0,0,0,0,4,6,8,1,1,0,0,0,0,1,0,0
9,16RYG,47,111,86,2,0,0,4,5,0,0,0,0,0,0,0,0
9,17RYGP,40,15,50,0,170,165,4,5,0,0,0,0,0,0,0,0
9,18RP,59,0,0,0,180,241,4,5,0,0,0,0,0,0,0,0
9,19YP,0,277,0,0,7,90,4,5,0,0,0,0,0,0,0,0
9,20GP,0,0,59,0,95,170,6,1,0,0,0,0,0,0,0,0
9,21RYG,26,54,41,0,0,0,4,5,0,0,0,0,0,0,0,0
9,22RYGP,57,28,67,0,25,254,4,5,1,0,0,0,0,0,0,0
9,23RP,3,0,0,0,16,11,8,1,0,0,0,0,0,0,0,0
9,24YP,0,142,0,0,5,224,4,5,0,0,0,0,0,0,0,0
